Sample,Depth,ROV,Phosphate,Ammonium,Sulfide,Sulphate,Methane,DIC,¦Ä15N,¦Ä13C,%ON,%OC,DOM_t,DOM_a,DOM_m,DOM_c,DOM_b,DOM_SR,DOM_BIX,DOM_FI,DOM_HIX,DNA_18S_Whole_Richness,RNA_18S_Whole_Richness,DNA_Breviatea_Richness,RNA_Breviatea_Richness,DNA_Laby_Richness,RNA_Laby_Richness,DNA_Apicomplexa_Richness,RNA_Apicomplexa_Richness,DNA_16s_Whole_Richness,RNA_16s_Whole_Richness,DNA_ANME1_Richness,RNA_ANME1_Richness,DNA_Methano_Richness,RNA_Methano_Richness,DNA_Gamma_Richness,RNA_Gamma_Richness
D523ROV2LPC3_0,0,ROV2,0.569333333,31.2,0.403333333,2527.333333,4840.733333,4.49,1.1,-33.8,0.28,1.99,0.732559375,1.317937913,0.911869445,0.641889351,0.825216472,2.972606741,1.223469858,1.365053968,0.646677959,33,464,1,17,0,18,3,5,2052,1638,8,2,15,15,295,291
D523ROV2LPC3_5,5,ROV2,0.2605,29.4,0.11,2330.25,6842.15,6.75,2.1,-32.4,0.19,1.32,0.692622557,1.405951632,0.895607362,0.676295011,0.702274724,2.806930337,1.150164254,1.374975998,0.68261856,21,128,0,9,0,5,1,2,1290,346,12,9,12,8,161,61
D523ROV2LPC3_10,10,ROV2,0.2385,34.45,0.055,1769.25,9779.5,11.415,0.7,-37.8,0.23,1.03,0.631047727,1.085384041,0.751510201,0.517487478,0.685369007,3.258294587,1.224966212,1.402674309,0.648728589,17,486,0,11,0,11,0,6,1123,952,12,5,8,18,153,160
D522ROV1PC205_0,0,ROV1,0.474666667,26.16666667,18.8675,1972.5,24159.31667,9.91,3.9,-25.5,0.14,0.92,0.784550322,1.326114546,0.965873477,0.62204992,0.884863992,2.889838128,1.269556522,1.375842751,0.630446946,169,292,8,19,1,5,17,2,1301,852,3,6,1,7,193,167
D522ROV1PC205_5,5,ROV1,0.395,26.5,85.11,760.6,34583.36,20.11,3.5,-25.9,0.14,1.11,0.461763287,0.974096706,0.635908479,0.456545327,0.553089268,2.593860082,1.029340898,1.367682626,0.656208868,137,291,10,15,5,4,5,2,1212,554,4,8,2,6,179,104
D522ROV1PC205_10,10,ROV1,0.415,26.68333333,152.244,387.25,76078.73333,23.65,4.2,-25.6,0.12,0.83,0.425366252,0.886557893,0.630275367,0.420304845,0.529805816,2.656479717,1.151396393,1.335068118,0.634442208,84,NA,3,NA,1,NA,6,NA,903,452,1,8,0,6,115,72
D523ROV2LPC2_0,0,ROV2,0.569333333,31.2,0.403333333,2527.333333,4840.733333,4.49,1.4,-32.8,0.29,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,399,0,12,0,8,20,4,1866,1260,6,3,17,20,190,212
D523ROV2LPC2_5,5,ROV2,0.2605,29.4,0.11,2330.25,6842.15,6.75,2.2,-32.3,0.17,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,370,3,18,5,7,21,3,1543,1179,4,7,6,18,187,154
D523ROV2LPC2_10,10,ROV2,0.2385,34.45,0.055,1769.25,9779.5,11.415,2.6,-34,0.13,0.87,0.677554429,1.400872622,0.729394779,0.703378813,0.73699737,2.742529928,1.01126668,1.433721108,0.687450447,12,125,0,4,0,1,0,0,684,851,7,9,11,14,96,139
D517ROV2PC203_5,5,ROV2,0.2605,29.4,0.11,2330.25,6842.15,6.75,1.9,-29.4,0.21,1.06,1.45603784,2.179008426,1.39554358,0.960479555,1.5228314,1.936731172,1.241121859,1.39081415,0.626437326,243,170,17,11,6,6,24,2,913,1385,5,6,5,13,163,246
